citta,cambi,metodo,parametro,probabilita,errore,secondi,quota_tetto,modello_ritardo
roma,1,convoluzione,5,0.9561243695940855,0.0021856304059144627,0.05854490000001533,0.0,sintetico
roma,1,convoluzione,10,0.9561243695940854,0.0021856304059145737,0.0559837000000698,0.0,sintetico
roma,1,convoluzione,30,0.9481126922245868,0.010197307775413167,0.053441600000041944,0.0,sintetico
roma,1,convoluzione,60,0.9273273925957176,0.03098260740428238,0.054280900000776455,0.0,sintetico
roma,1,montecarlo,100,0.96,0.0016899999999999693,0.0012105000005249167,0.0,sintetico
roma,1,montecarlo,1000,0.974,0.015689999999999982,0.002482199999576551,0.0,sintetico
roma,1,montecarlo,10000,0.9587,0.00039000000000000146,0.008236300000135088,0.0,sintetico
roma,1,montecarlo,100000,0.95986,0.0015500000000000513,0.059933900000032736,0.0,sintetico
roma,2,convoluzione,5,0.08652622134207553,0.004593778657924472,0.10063400000035472,1.6471676769173425e-11,sintetico
roma,2,convoluzione,10,0.08652622134207553,0.004593778657924472,0.09816810000029363,1.647167676917343e-11,sintetico
roma,2,convoluzione,30,0.0739999777632427,0.017120022236757307,0.09506289999990258,2.0587416755166803e-11,sintetico
roma,2,convoluzione,60,0.05694993577552565,0.034170064224474356,0.0943104999996649,2.8787363494436714e-11,sintetico
roma,2,montecarlo,100,0.06,0.03112000000000001,0.0026605000002746237,0.0,sintetico
roma,2,montecarlo,1000,0.093,0.0018799999999999928,0.008337099999152997,0.0,sintetico
roma,2,montecarlo,10000,0.0895,0.0016200000000000103,0.022428799999943294,0.0,sintetico
roma,2,montecarlo,100000,0.09306,0.0019399999999999973,0.14364829999976791,5e-05,sintetico
roma,3,convoluzione,5,0.021977400074156682,0.0011775999258433166,0.1458917999998448,0.006036429262280452,sintetico
roma,3,convoluzione,10,0.021977400074156685,0.0011775999258433131,0.1365719999994326,0.0060364292622804485,sintetico
roma,3,convoluzione,30,0.016171219517601088,0.006983780482398911,0.13041179999981978,0.007190181599102091,sintetico
roma,3,convoluzione,60,0.009892960925939465,0.013262039074060534,0.13575949999994918,0.009194149825557349,sintetico
roma,3,montecarlo,100,0.01,0.013154999999999998,0.004587100000208011,0.02,sintetico
roma,3,montecarlo,1000,0.029,0.005845000000000003,0.011254799999733223,0.009,sintetico
roma,3,montecarlo,10000,0.0236,0.00044500000000000095,0.035233799999332405,0.0116,sintetico
roma,3,montecarlo,100000,0.02367,0.0005150000000000016,0.22540570000001026,0.01191,sintetico
roma,1,convoluzione,5,0.8545876779392343,0.002302322060765749,0.04583389999970677,0.0,sintetico
roma,1,convoluzione,10,0.8545876779392343,0.002302322060765749,0.044082000000344124,0.0,sintetico
roma,1,convoluzione,30,0.8545611032863932,0.0023288967136068095,0.045465900000635884,0.0,sintetico
roma,1,convoluzione,60,0.8373320669969856,0.01955793300301445,0.04078549999940151,0.0,sintetico
roma,1,montecarlo,100,0.91,0.05310999999999999,0.0015702000000601402,0.0,sintetico
roma,1,montecarlo,1000,0.866,0.009109999999999951,0.0033874000000650994,0.0,sintetico
roma,1,montecarlo,10000,0.8644,0.007509999999999906,0.010280999999849882,0.0,sintetico
roma,1,montecarlo,100000,0.85928,0.0023900000000000032,0.07170580000001792,0.0,sintetico
roma,2,convoluzione,5,0.2842774302094687,0.010512430209468737,0.09128390000023501,0.0,sintetico
roma,2,convoluzione,10,0.2842774302094688,0.010512430209468793,0.08350780000000668,0.0,sintetico
roma,2,convoluzione,30,0.26308546180858966,0.01067953819141032,0.07951130000037665,0.0,sintetico
roma,2,convoluzione,60,0.22746734054949916,0.04629765945050082,0.07877470000039466,0.0,sintetico
roma,2,montecarlo,100,0.28,0.006235000000000046,0.0031231000002662768,0.0,sintetico
roma,2,montecarlo,1000,0.291,0.017235,0.009174200000416022,0.0,sintetico
roma,2,montecarlo,10000,0.2705,0.0032649999999999624,0.026837500000510772,0.0011,sintetico
roma,2,montecarlo,100000,0.27664,0.0028750000000000164,0.17275690000042232,0.00125,sintetico
roma,2,convoluzione,5,0.3538216654767735,0.0049716654767735236,0.07306609999977809,0.0004948729194961476,sintetico
roma,2,convoluzione,10,0.3538216654767736,0.004971665476773579,0.06903049999982613,0.0004948729194961476,sintetico
roma,2,convoluzione,30,0.34057657048578893,0.008273429514211061,0.06586950000018987,0.000528330450112588,sintetico
roma,2,convoluzione,60,0.3125108302907454,0.036339169709254604,0.06585910000012518,0.0005857113688084454,sintetico
roma,2,montecarlo,100,0.29,0.05885000000000001,0.0026644999998097774,0.01,sintetico
roma,2,montecarlo,1000,0.364,0.015149999999999997,0.007130899999538087,0.002,sintetico
roma,2,montecarlo,10000,0.3444,0.0044500000000000095,0.02109569999993255,0.0057,sintetico
roma,2,montecarlo,100000,0.34953,0.0006800000000000139,0.13036490000013146,0.00665,sintetico
roma,3,convoluzione,5,0.11532253301864645,0.006262533018646446,0.11820619999980408,0.45330891878545165,sintetico
roma,3,convoluzione,10,0.11532253301864644,0.006262533018646432,0.1094173999999839,0.4533089187854516,sintetico
roma,3,convoluzione,30,0.10180662239052529,0.007253377609474712,0.10503940000035072,0.47878921571979405,sintetico
roma,3,convoluzione,60,0.08123033694613752,0.02782966305386249,0.10644830000001093,0.5170542717092144,sintetico
roma,3,montecarlo,100,0.12,0.010939999999999991,0.0038608999993812176,0.48,sintetico
roma,3,montecarlo,1000,0.124,0.014939999999999995,0.011742600000616221,0.449,sintetico
roma,3,montecarlo,10000,0.1042,0.004860000000000003,0.03746569999930216,0.4709,sintetico
roma,3,montecarlo,100000,0.10997,0.0009099999999999941,0.22495989999970334,0.46509,sintetico
roma,2,convoluzione,5,0.16113280616408537,0.0028871938359146254,0.10051389999989624,0.0001078730197654512,sintetico
roma,2,convoluzione,10,0.16113280616408537,0.0028871938359146254,0.09436439999990398,0.0001078730197654512,sintetico
roma,2,convoluzione,30,0.1459578955468872,0.018062104453112793,0.09091430000080436,0.00011651930766690384,sintetico
roma,2,convoluzione,60,0.12421830823268734,0.03980169176731266,0.09656399999948917,0.00012965106750375882,sintetico
roma,2,montecarlo,100,0.2,0.03598000000000001,0.003850600000077975,0.0,sintetico
roma,2,montecarlo,1000,0.165,0.0009800000000000086,0.010335799999666051,0.0,sintetico
roma,2,montecarlo,10000,0.1613,0.00272,0.035304699999869626,0.0014,sintetico
roma,2,montecarlo,100000,0.1627,0.0013199999999999878,0.19427730000006704,0.00162,sintetico
roma,3,convoluzione,5,0.04210915359731379,0.00013084640268620773,0.14746139999988372,0.009046138214314074,sintetico
roma,3,convoluzione,10,0.04210915359731379,0.00013084640268620773,0.13417000000026746,0.009046138214314072,sintetico
roma,3,convoluzione,30,0.03522080270522834,0.007019197294771656,0.12830229999963194,0.009729380284344407,sintetico
roma,3,convoluzione,60,0.026468713447521285,0.015771286552478714,0.130377800000133,0.010845080668392439,sintetico
roma,3,montecarlo,100,0.04,0.002239999999999999,0.004785299999639392,0.01,sintetico
roma,3,montecarlo,1000,0.051,0.008759999999999997,0.015978399999767134,0.015,sintetico
roma,3,montecarlo,10000,0.0479,0.005659999999999998,0.05014480000045296,0.0154,sintetico
roma,3,montecarlo,100000,0.04199,0.0002500000000000002,0.27039739999963786,0.01523,sintetico
roma,3,convoluzione,5,0.04283800572480553,0.0010819942751944742,0.152103100000204,0.6645810906643687,sintetico
roma,3,convoluzione,10,0.042838005724805533,0.0010819942751944672,0.13469780000013998,0.6645810906643688,sintetico
roma,3,convoluzione,30,0.036505165248652514,0.007414834751347486,0.132949899999403,0.6775722463480622,sintetico
roma,3,convoluzione,60,0.02843147442076365,0.01548852557923635,0.1290035000001808,0.697208100654301,sintetico
roma,3,montecarlo,100,0.03,0.013920000000000002,0.003430899999329995,0.63,sintetico
roma,3,montecarlo,1000,0.051,0.007079999999999996,0.011714700000084122,0.637,sintetico
roma,3,montecarlo,10000,0.0414,0.0025200000000000014,0.03974430000016582,0.6671,sintetico
roma,3,montecarlo,100000,0.04439,0.0004699999999999982,0.26063239999984944,0.66333,sintetico
roma,2,convoluzione,5,0.14660319504294533,0.0004931950429453436,0.1007713999997577,0.06447863521244367,sintetico
roma,2,convoluzione,10,0.1466031950429453,0.0004931950429453158,0.09547000000020489,0.06447863521244367,sintetico
roma,2,convoluzione,30,0.13624425334001367,0.009865746659986324,0.09231139999974403,0.06851486254113257,sintetico
roma,2,convoluzione,60,0.1189113810927867,0.027198618907213284,0.09100599999965198,0.07502294624332073,sintetico
roma,2,montecarlo,100,0.06,0.08610999999999999,0.003349999999954889,0.1,sintetico
roma,2,montecarlo,1000,0.164,0.017890000000000017,0.010978699999213859,0.101,sintetico
roma,2,montecarlo,10000,0.1419,0.0042099999999999915,0.035059300000284566,0.1057,sintetico
roma,2,montecarlo,100000,0.14747,0.00136,0.19444240000029822,0.10964,sintetico
roma,3,convoluzione,5,0.10317650654828348,0.00243349345171652,0.1477165000005698,0.2007625902072468,sintetico
roma,3,convoluzione,10,0.10317650654828346,0.002433493451716534,0.13413180000043212,0.2007625902072468,sintetico
roma,3,convoluzione,30,0.09247815439151554,0.01313184560848446,0.13271139999960724,0.2121838647311334,sintetico
roma,3,convoluzione,60,0.07622069750304794,0.029389302496952055,0.13042309999946156,0.23022443531046766,sintetico
roma,3,montecarlo,100,0.09,0.015609999999999999,0.004947600000377861,0.22,sintetico
roma,3,montecarlo,1000,0.113,0.007390000000000008,0.016328300000168383,0.186,sintetico
roma,3,montecarlo,10000,0.1065,0.0008900000000000019,0.051379800000177056,0.2062,sintetico
roma,3,montecarlo,100000,0.10618,0.0005700000000000011,0.27921449999939796,0.20431,sintetico
roma,1,convoluzione,5,0.7396707331420047,0.002994266857995309,0.060600499999964086,0.0,sintetico
roma,1,convoluzione,10,0.7396707331420047,0.002994266857995309,0.05469770000036078,0.0,sintetico
roma,1,convoluzione,30,0.7279672563182019,0.014697743681798103,0.05342359999940527,0.0,sintetico
roma,1,convoluzione,60,0.7026062353434166,0.04005876465658342,0.05126709999967716,0.0,sintetico
roma,1,montecarlo,100,0.74,0.0026650000000000285,0.0019683000000441098,0.0,sintetico
roma,1,montecarlo,1000,0.759,0.01633499999999999,0.005523199999515782,0.0,sintetico
roma,1,montecarlo,10000,0.7424,0.00026500000000007073,0.017869700000119337,0.0003,sintetico
roma,1,montecarlo,100000,0.7419,0.0007650000000000157,0.11062740000033955,6e-05,sintetico
roma,2,convoluzione,5,0.1143962391010701,0.0004412391010700928,0.11408469999969384,0.09595705890071402,sintetico
roma,2,convoluzione,10,0.11439623910107012,0.00044123910107012054,0.11298979999992298,0.09595705890071403,sintetico
roma,2,convoluzione,30,0.10196186499562626,0.01199313500437374,0.10480189999998402,0.10032604602304024,sintetico
roma,2,convoluzione,60,0.08267988660718775,0.03127511339281225,0.10254080000049726,0.10737683155952878,sintetico
roma,2,montecarlo,100,0.13,0.016045000000000004,0.0032466000002386863,0.09,sintetico
roma,2,montecarlo,1000,0.113,0.0009549999999999975,0.010030499999629683,0.091,sintetico
roma,2,montecarlo,10000,0.1096,0.004354999999999998,0.03924410000036005,0.0935,sintetico
roma,2,montecarlo,100000,0.11637,0.0024150000000000005,0.22366490000058548,0.09775,sintetico
roma,3,convoluzione,5,0.7585149590498372,0.005880040950162813,0.1445794000001115,4.405743775638681e-05,sintetico
roma,3,convoluzione,10,0.7494203947545293,0.014974605245470785,0.1384199999993143,4.413864621601677e-05,sintetico
roma,3,convoluzione,30,0.7155689795753675,0.04882602042463258,0.13019660000009026,5.064166296764002e-05,sintetico
roma,3,convoluzione,60,0.6566972962934697,0.10769770370653031,0.13462170000002516,6.23421825082174e-05,sintetico
roma,3,montecarlo,100,0.81,0.04560500000000001,0.003195600000253762,0.0,sintetico
roma,3,montecarlo,1000,0.773,0.008604999999999974,0.006233500000234926,0.0,sintetico
roma,3,montecarlo,10000,0.7686,0.004204999999999903,0.023337299999184324,0.0,sintetico
roma,3,montecarlo,100000,0.76323,0.0011650000000000826,0.16225430000031338,3e-05,sintetico
roma,2,convoluzione,5,0.46984513050372434,0.017365130503724346,0.1017492000000857,4.075276942961967e-06,sintetico
roma,2,convoluzione,10,0.4698451305037244,0.017365130503724402,0.09669620000022405,4.075276942961967e-06,sintetico
roma,2,convoluzione,30,0.4390627694235261,0.01341723057647387,0.09270479999941017,4.588475034301792e-06,sintetico
roma,2,convoluzione,60,0.38199282457117417,0.07048717542882582,0.09014010000009876,5.470783261076463e-06,sintetico
roma,2,montecarlo,100,0.44,0.012479999999999991,0.002533100000619015,0.0,sintetico
roma,2,montecarlo,1000,0.451,0.0014799999999999813,0.006518899999718997,0.0,sintetico
roma,2,montecarlo,10000,0.4488,0.0036800000000000166,0.020497200000136218,0.0,sintetico
roma,2,montecarlo,100000,0.45369,0.0012099999999999889,0.13245890000052896,0.0,sintetico
roma,3,convoluzione,5,0.3063674242177477,0.008862424217747689,0.14595319999989442,0.006323782131600564,sintetico
roma,3,convoluzione,10,0.3063674242177477,0.008862424217747689,0.1354283000000578,0.006323782131600559,sintetico
roma,3,convoluzione,30,0.28463205007710046,0.012872949922899557,0.13131520000024466,0.007320632126070985,sintetico
roma,3,convoluzione,60,0.24448084030611875,0.05302415969388127,0.12874120000014955,0.009084521729500073,sintetico
roma,3,montecarlo,100,0.27,0.027505,0.00443119999999908,0.0,sintetico
roma,3,montecarlo,1000,0.336,0.038495,0.012986900000214519,0.009,sintetico
roma,3,montecarlo,10000,0.2964,0.0011050000000000226,0.03885629999967932,0.0079,sintetico
roma,3,montecarlo,100000,0.29487,0.0026349999999999985,0.22617319999972096,0.00831,sintetico
roma,2,convoluzione,5,0.6828291632228135,0.0002058367771864411,0.10395499999958702,0.0004773882096836084,sintetico
roma,2,convoluzione,10,0.6720954981013495,0.01093950189865045,0.09766730000046664,0.00047738844527017493,sintetico
roma,2,convoluzione,30,0.6506387039662176,0.03239629603378236,0.09693500000048516,0.00050625592999285,sintetico
roma,2,convoluzione,60,0.6248976532201779,0.058137346779822074,0.09893220000049041,0.0005516330498415575,sintetico
roma,2,montecarlo,100,0.7,0.016965000000000008,0.002478700000210665,0.0,sintetico
roma,2,montecarlo,1000,0.682,0.0010349999999998971,0.006378699999913806,0.0,sintetico
roma,2,montecarlo,10000,0.6914,0.008365000000000067,0.023493900000175927,0.0005,sintetico
roma,2,montecarlo,100000,0.68402,0.0009850000000000136,0.14128279999931692,0.00059,sintetico
roma,1,convoluzione,5,0.8973645527728422,0.00012455277284217914,0.05896819999998115,0.00047568130233397485,sintetico
roma,1,convoluzione,10,0.8973645527728422,0.00012455277284217914,0.05530970000017987,0.00047568130233397485,sintetico
roma,1,convoluzione,30,0.8927632929731291,0.004476707026870974,0.05248940000001312,0.0005043881934759214,sintetico
roma,1,convoluzione,60,0.8685772532280893,0.02866274677191072,0.062132500000188884,0.0005495267583751467,sintetico
roma,1,montecarlo,100,0.88,0.017240000000000033,0.0031472000000576372,0.0,sintetico
roma,1,montecarlo,1000,0.922,0.024760000000000004,0.0065755999994507874,0.0,sintetico
roma,1,montecarlo,10000,0.9,0.0027599999999999847,0.017523699999401288,0.0005,sintetico
roma,1,montecarlo,100000,0.89701,0.0002300000000000635,0.10756080000010115,0.00056,sintetico
roma,3,convoluzione,5,0.3087565076096029,0.006798492390397093,0.14473999999972875,0.013419593415749378,sintetico
roma,3,convoluzione,10,0.3087225630407824,0.0068324369592175915,0.1360317999997278,0.013731463134859505,sintetico
roma,3,convoluzione,30,0.2907366384610069,0.024818361538993083,0.13080290000016248,0.015228204150176752,sintetico
roma,3,convoluzione,60,0.2635350716833936,0.0520199283166064,0.13149390000035055,0.017076260643085178,sintetico
roma,3,montecarlo,100,0.36,0.04444500000000001,0.004888699999355595,0.03,sintetico
roma,3,montecarlo,1000,0.346,0.030445,0.015394300000480143,0.021,sintetico
roma,3,montecarlo,10000,0.3148,0.0007549999999999502,0.05071769999995013,0.0223,sintetico
roma,3,montecarlo,100000,0.31258,0.00297499999999995,0.2886236000003919,0.02429,sintetico
